Spectral Class ID;Op Type;Description;L_50Hz;L_63Hz;L_80Hz;L_100Hz;L_125Hz;L_160Hz;L_200Hz;L_250Hz;L_315Hz;L_400Hz;L_500Hz;L_630Hz;L_800Hz;L_1000Hz;L_1250Hz;L_1600Hz;L_2000Hz;L_2500Hz;L_3150Hz;L_4000Hz;L_5000Hz;L_6300Hz;L_8000Hz;L_10000Hz
101;Departure                                         ;2/3-Engine.LowByPass.Tfan;59.5;61.6;62.8;73.1;80.8;78.3;72.3;75.8;75.9;73.6;71.8;71.6;72.3;70.0;68.3;66.6;64.2;61.4;58.6;54.8;50.9;45.7;43.9;40.9
201;Approach                                          ;2/3-Engine.LowByPass.Tfan;64.9;65.5;66.2;66.7;73.0;77.6;74.8;70.7;76.6;72.5;74.4;73.6;70.9;70.0;69.2;67.8;66.5;68.0;63.0;60.0;57.6;56.3;54.6;45.8
